id,genre,r,g,b
tt1258972,Action,5,4,5
tt2828840,Action,8,10,12
tt2825924,Action,17,11,6
tt2706264,Action,82,43,17
tt2359006,Action,10,9,5
tt0929742,Action,168,218,242
tt1956697,Action,21,23,20
tt1395025,Action,83,16,13
tt0266697,Action,245,219,7
tt0091815,Action,37,23,19
tt0780595,Action,20,5,5
tt0997167,Action,14,9,11
tt0098158,Action,28,32,34
tt0103776,Action,13,12,18
tt0104215,Action,4,5,7
tt0101481,Action,208,198,182
tt0097987,Action,16,13,10
tt3144098,Action,51,53,55
tt0089243,Action,23,28,16
tt2016940,Action,15,21,23
tt2344678,Action,185,118,68
tt2437954,Action,244,236,208
tt2367996,Action,1,2,4
tt2887322,Action,248,250,250
tt1907639,Action,11,7,7
tt0101587,Comedy,232,170,120
tt0101862,Comedy,212,151,139
tt0103241,Comedy,251,250,250
tt0100087,Comedy,251,251,249
tt0103035,Comedy,119,188,240
tt0100611,Comedy,253,253,249
tt0099316,Comedy,250,249,247
tt0100301,Comedy,119,114,116
tt0102303,Comedy,251,251,251
tt0103015,Comedy,249,249,247
tt0101757,Comedy,67,72,53
tt0103007,Comedy,235,234,233
tt0099342,Comedy,38,24,24
tt0099305,Comedy,213,215,230
tt0100899,Comedy,227,229,233
tt0100708,Comedy,240,179,198
tt0094907,Comedy,104,109,87
tt0095047,Comedy,19,10,11
tt0100684,Comedy,16,22,8
tt0101660,Comedy,39,25,29
tt0104187,Comedy,236,232,228
tt0102849,Comedy,249,250,250
tt0102558,Comedy,48,39,34
tt0103128,Comedy,244,235,184
tt0103850,Comedy,222,222,225
tt0085750,Horror,201,213,211
tt2505856,Horror,15,12,9
tt0087746,Horror,45,41,63
tt0085159,Horror,35,61,72
tt0085780,Horror,38,25,18
tt1457767,Horror,231,223,214
tt0093777,Horror,10,10,17
tt0091415,Horror,27,36,45
tt1499302,Horror,10,9,11
tt0091707,Horror,30,37,38
tt0096340,Horror,46,39,44
tt0095179,Horror,20,6,4
tt2109184,Horror,1,0,1
tt1650537,Horror,23,16,17
tt1560985,Horror,24,13,9
tt1536044,Horror,2,1,3
tt0844289,Horror,39,16,12
tt0489244,Horror,18,16,10
tt0454841,Horror,31,22,19
tt0420294,Horror,25,18,19
tt0105428,Horror,3,2,6
tt0104409,Horror,244,242,234
tt0472186,Horror,5,3,2
tt0099395,Horror,26,28,27
tt0097388,Horror,103,50,39
tt0098347,Drama,244,246,246
tt0098112,Drama,185,139,156
tt0098330,Drama,134,137,173
tt0098638,Drama,238,219,201
tt1630036,Drama,249,239,222
tt1198156,Drama,245,236,223
tt0085461,Drama,246,240,225
tt0086216,Drama,16,25,26
tt1562568,Drama,246,248,247
tt1233334,Drama,49,41,55
tt1684628,Drama,251,251,247
tt0098335,Drama,41,41,41
tt0097607,Drama,219,224,213
tt0098659,Drama,26,26,26
tt0097490,Drama,249,246,233
tt0098631,Drama,163,171,180
tt1582248,Drama,8,16,19
tt0466893,Drama,7,5,7
tt1915551,Drama,143,199,246
tt0097458,Drama,25,29,12
tt0097567,Drama,23,25,20
tt1723811,Drama,117,141,128
tt1554091,Drama,250,233,194
tt1321860,Drama,4,6,2
tt0100691,Drama,250,251,250
tt2187972,Romance,246,239,62
tt1260565,Romance,228,235,239
tt0444840,Romance,20,13,13
tt0432290,Romance,10,8,8
tt3173910,Romance,167,76,129
tt2784678,Romance,25,13,29
tt2870756,Romance,247,242,213
tt2582846,Romance,20,20,13
tt2239832,Romance,39,31,36
tt1086772,Romance,224,45,16
tt1972779,Romance,44,36,21
tt1800246,Romance,24,32,35
tt0139362,Romance,250,249,247
tt0120793,Romance,2,1,0
tt0120820,Romance,245,236,9
tt0120531,Romance,39,62,146
tt0155388,Romance,30,16,10
tt2034031,Romance,215,210,216
tt3302962,Romance,248,245,224
tt3554418,Romance,246,219,168
tt0139134,Romance,12,9,6
tt0186894,Romance,247,176,136
tt0160862,Romance,30,27,19
tt0132213,Romance,34,11,10
tt0120723,Romance,35,24,23
tt0460975,Sci-Fi,20,19,23
tt2197905,Sci-Fi,6,3,3
tt0088933,Sci-Fi,10,10,14
tt0086567,Sci-Fi,19,19,17
tt0089622,Sci-Fi,15,11,17
tt0091276,Sci-Fi,31,29,33
tt0086491,Sci-Fi,12,10,6
tt2859246,Sci-Fi,188,188,208
tt0092809,Sci-Fi,20,11,12
tt1529307,Sci-Fi,11,40,16
tt1949178,Sci-Fi,10,14,28
tt1371111,Sci-Fi,4,5,5
tt1343727,Sci-Fi,18,15,25
tt0438488,Sci-Fi,16,9,7
tt0091472,Sci-Fi,4,6,8
tt0087130,Sci-Fi,220,234,234
tt1182345,Sci-Fi,1,1,1
tt1231587,Sci-Fi,253,253,252
tt1363468,Sci-Fi,10,13,11
tt1470827,Sci-Fi,79,81,89
tt0370032,Sci-Fi,224,231,228
tt0414993,Sci-Fi,10,4,2
tt0872335,Sci-Fi,249,250,249
tt0463854,Sci-Fi,196,2,2
tt0768212,Sci-Fi,4,4,9
tt0091123,Animation,70,47,45
tt4179482,Animation,42,38,48
tt1560987,Animation,206,235,245
tt1145855,Animation,250,248,249
tt1817287,Animation,1,2,2
tt0398872,Animation,144,26,37
tt0372763,Animation,29,14,16
tt1912979,Animation,77,41,113
tt1008003,Animation,15,16,14
tt1931569,Animation,7,3,3
tt1531706,Animation,250,236,239
tt0327597,Animation,1,2,1
tt1072430,Animation,56,31,49
tt0498351,Animation,40,81,66
tt2859246,Animation,188,188,208
tt1979172,Animation,201,145,65
tt1748199,Animation,9,6,4
tt0097757,Animation,10,49,73
tt0095894,Animation,35,58,117
tt0085542,Animation,22,13,18
tt0089877,Animation,243,247,247
tt0090065,Animation,27,32,52
tt0088814,Animation,95,35,50
tt0088885,Animation,236,227,225
tt0091149,Animation,59,66,83
tt1562899,Thriller,23,29,41
tt1241226,Thriller,13,20,37
tt0087629,Thriller,130,127,121
tt0093044,Thriller,29,28,26
tt0093347,Thriller,29,17,34
